"GameIndex","HomeTeam","AwayTeam","Date","AvgO25","AvgU25","AvgH","AvgA","AvgD","Played","TG","HtPos","AtPos","HtSGLG","AtSGLG","HtCGLG","AtCGLG","HtASGPG","AtASGPG","HtACGPG","AtACGPG","HtASGP5G","AtASGP5G","HtACGP5G","AtACGP5G","AGTM","HtASGP3G","AtASGP3G","HtACGP3G","AtACGP3G","HtpercentGO","AtpercentGO","FTR","elo_ht","elo_at","win_e_ht","tilt_ht","tilt_at"
"03/09/2022AjaxCambuur","Ajax","Cambuur","03/09/2022",1.17,4.72,1.1,21.4,10.66,4,4,2,11,2,0,0,1,3,1,0.75,1,3,1,0.75,1,7,3,1.33333333333333,0.333333333333333,0.666666666666667,0.5,0.25,"H",1371.28630658869,942.761876880805,0.946329998506362,1.33260470648176,1.16060480081689
"03/09/2022TwentePSV Eindhoven","Twente","PSV Eindhoven","03/09/2022",1.54,2.44,3.75,1.89,3.83,4,3,5,1,4,7,0,1,2,5.5,0.25,1.25,2,5.5,0.25,1.25,3.7,2.33333333333333,6,0.333333333333333,1.33333333333333,0.5,1,"H",1175.91742944067,1318.65690801936,0.396822551838247,0.962300753663128,1.62312035098451
"03/09/2022Sparta RotterdamVolendam","Sparta Rotterdam","Volendam","03/09/2022",1.62,2.26,1.6,5.1,4.23,4,4,12,14,1,1,0,7,0.75,1.25,1,3.25,0.75,1.25,1,3.25,0,1,1,1.33333333333333,3.66666666666667,0.25,0.75,"H",1021.60424106408,995.854760538419,0.634408818653842,0.838209858678532,1.09717838276268
"03/09/2022Go Ahead EaglesFeyenoord","Go Ahead Eagles","Feyenoord","03/09/2022",1.53,2.44,7.41,1.39,4.99,4,7,17,3,0,4,1,0,0.5,2.5,2.25,0.5,0.5,2.5,2.25,0.5,3,0.666666666666667,1.66666666666667,2.33333333333333,0,0.25,0.5,"A",855.298905660771,1214.35738138785,0.159231868646778,0.967010457754776,1.16600534217469
"04/09/2022WaalwijkExcelsior","Waalwijk","Excelsior","04/09/2022",1.56,2.39,1.7,4.47,4.13,4,7,15,8,2,0,2,4,1.25,1.5,1.5,2.75,1.25,1.5,1.5,2.75,0,1,1.33333333333333,1.33333333333333,3.66666666666667,0.5,0.75,"H",984.643099113505,963.582462182882,0.628126292968235,0.982931631541679,1.2870478619521
"04/09/2022FC EmmenAZ Alkmaar","FC Emmen","AZ Alkmaar","04/09/2022",1.68,2.15,3.8,1.92,3.69,4,3,13,5,0,1,4,1,1.25,1.75,2.75,0.75,1.25,1.75,2.75,0.75,3,1.33333333333333,1.66666666666667,2.33333333333333,1,0.75,0.25,"A",990.864589062035,1171.77856321159,0.345591957963531,1.21729948854568,1.19434034305419
"04/09/2022HeerenveenNijmegen","Heerenveen","Nijmegen","04/09/2022",1.79,2,1.95,3.77,3.59,4,0,6,9,2,1,1,1,1.5,1.5,0.25,1,1.5,1.5,0.25,1,2,2,2,0.333333333333333,1,0.5,0.25,"D",1035.61977994523,957.044476189892,0.701671093900313,0.938184358597315,0.951079896936763
"04/09/2022GroningenVitesse","Groningen","Vitesse","04/09/2022",1.71,2.1,2.39,2.82,3.51,4,1,11,16,1,2,1,2,1.25,1.25,2.25,3.5,1.25,1.25,2.25,3.5,2.83333333333333,1,1,2.33333333333333,3,0.5,1,"A",938.906479143948,976.434848065671,0.546594943177284,1.11301961934378,1.15671112978799
"09/09/2022VolendamGo Ahead Eagles","Volendam","Go Ahead Eagles","09/09/2022",1.59,2.34,2.53,2.61,3.6,5,5,16,17,0,3,4,4,1,1,3.4,2.6,1,1,3.4,2.6,0,0.666666666666667,1,3.66666666666667,2,0.8,0.4,"A",981.231117585033,848.929630166654,0.762156867017297,1.13776095619554,1.03872799539486
"10/09/2022NijmegenFor Sittard","Nijmegen","For Sittard","10/09/2022",1.74,2.08,1.88,3.91,3.71,5,2,8,18,0,3,0,4,1.2,1.4,0.8,3.2,1.2,1.4,0.8,3.2,2.5,0.666666666666667,1.66666666666667,0.666666666666667,3.33333333333333,0.2,1,"D",965.111320126911,901.115422925453,0.68381121125493,0.903525902089925,1.21105851936644
"10/09/2022AjaxHeerenveen","Ajax","Heerenveen","10/09/2022",1.29,3.48,1.19,12.72,7.36,5,5,1,6,4,0,0,0,3.2,1.2,0.6,0.2,3.2,1.2,0.6,0.2,4.41666666666667,2.33333333333333,2,0,0.333333333333333,0.6,0.4,"H",1373.43310630101,1027.55293600821,0.916368541346241,1.33490404989429,0.891275140667449
