"GameIndex","HomeTeam","AwayTeam","Date","AvgO25","AvgU25","AvgH","AvgA","AvgD","Played","TG","HtPos","AtPos","HtSGLG","AtSGLG","HtCGLG","AtCGLG","HtASGPG","AtASGPG","HtACGPG","AtACGPG","HtASGP5G","AtASGP5G","HtACGP5G","AtACGP5G","AGTM","HtASGP3G","AtASGP3G","HtACGP3G","AtACGP3G","HtpercentGO","AtpercentGO","FTR","elo_ht","elo_at","win_e_ht","tilt_ht","tilt_at"
"08/09/2019HuescaSp Gijon","Huesca","Sp Gijon","08/09/2019",2.24,1.63,2.03,3.94,3.09,3,1,6,9,0,2,1,0,1.33333333333333,1.33333333333333,0.666666666666667,0.666666666666667,1.33333333333333,1.33333333333333,0.666666666666667,0.666666666666667,2,1.33333333333333,1.33333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0,"H",1091.6841803778,1057.78685076179,0.645217131876746,1.01070656452684,0.838768678119438
"08/09/2019GironaVallecano","Girona","Vallecano","08/09/2019",2.17,1.66,2.12,3.58,3.15,3,4,11,10,1,3,0,1,0.666666666666667,2,0.666666666666667,1.33333333333333,0.666666666666667,2,0.666666666666667,1.33333333333333,2.5,0.666666666666667,2,0.666666666666667,1.33333333333333,0,0.666666666666667,"H",1027.07372134003,1107.30567673153,0.485279223891197,1.04879833384989,1.18789560434395
"08/09/2019ElcheLugo","Elche","Lugo","08/09/2019",2.17,1.67,2.05,3.84,3.13,3,2,16,19,0,2,1,4,0.666666666666667,1,1.33333333333333,1.66666666666667,0.666666666666667,1,1.33333333333333,1.66666666666667,3.25,0.666666666666667,1,1.33333333333333,1.66666666666667,0.333333333333333,0.333333333333333,"D",988.205310737152,959.285478441337,0.638631211478926,1.09186057326935,0.99879598843212
"08/09/2019MirandesOviedo","Mirandes","Oviedo","08/09/2019",2.34,1.58,2.46,2.89,3.13,3,3,22,21,0,1,2,2,1,1.33333333333333,2,2,1,1.33333333333333,2,2,1,1,1.33333333333333,2,2,0.666666666666667,0.666666666666667,"H",892.834596491135,995.031506161781,0.453797120235598,1.06896904535668,1.04108933977922
"08/09/2019AlcorconZaragoza","Alcorcon","Zaragoza","08/09/2019",2.4,1.55,2.49,3.06,2.91,3,3,5,4,4,1,2,0,2,1.33333333333333,1.33333333333333,0.333333333333333,2,1.33333333333333,1.33333333333333,0.333333333333333,1.83333333333333,2,1.33333333333333,1.33333333333333,0.333333333333333,0.666666666666667,0,"A",933.598573868418,1023.67263781441,0.471143294960161,0.894972468851534,1.00642727351216
"13/09/2019VallecanoSantander","Vallecano","Santander","13/09/2019",1.98,1.81,1.76,4.78,3.48,4,2,11,21,1,1,3,2,1.75,1,1.75,1.5,1.75,1,1.75,1.5,0,1.66666666666667,1.33333333333333,1.66666666666667,1.66666666666667,0.75,0.5,"H",1086.71684825282,966.298946988563,0.749534947604181,1.2047785959519,1.01371021933807
"14/09/2019MirandesMalaga","Mirandes","Malaga","14/09/2019",2.53,1.5,2.68,2.84,2.9,4,2,15,13,2,0,1,1,1.25,0.5,1.75,0.75,1.25,0.5,1.75,0.75,0,1,0.333333333333333,1.66666666666667,1,0.75,0,"D",914.682712233645,1056.65416827471,0.397881210113921,1.07315253465951,0.849054011705986
"14/09/2019NumanciaHuesca","Numancia","Huesca","14/09/2019",2.25,1.62,3.08,2.36,3.12,4,1,12,5,0,1,0,0,1,1.25,1,0.5,1,1.25,1,0.5,1,1.33333333333333,1.33333333333333,1,0.666666666666667,0.25,0.25,"H",942.655613279043,1105.8754935417,0.368974932493469,0.876323447894413,0.98401571275954
"14/09/2019Las PalmasAlmeria","Las Palmas","Almeria","14/09/2019",2.36,1.57,2.46,2.99,3.02,4,3,17,3,0,1,0,0,0.75,1.5,1,0.25,0.75,1.5,1,0.25,1.5,1,1,1,0.333333333333333,0.25,0.25,"A",976.107447911482,1086.91344090995,0.44154398504809,0.954123347326523,0.86561810805388
"14/09/2019CadizGirona","Cadiz","Girona","14/09/2019",2.58,1.48,2.24,3.44,2.99,4,2,1,7,2,3,1,1,2.25,1.25,1,0.75,2.25,1.25,1,0.75,1.5,2,1.33333333333333,1,0.666666666666667,1,0.25,"H",1103.27478299538,1047.66254981873,0.673285448293416,0.96419152649055,1.06370440253478
"14/09/2019PonferradinaAlcorcon","Ponferradina","Alcorcon","14/09/2019",2.49,1.51,2.35,3.27,2.94,4,2,10,8,1,0,1,3,1.75,1.5,1.25,1.75,1.75,1.5,1.25,1.75,0,2,1.66666666666667,0.666666666666667,2.33333333333333,0.5,0.75,"D",1007.80966882846,914.752845738777,0.718823036426585,1.04032232120077,0.909840671760071
"15/09/2019AlbaceteTenerife","Albacete","Tenerife","15/09/2019",2.37,1.56,2.37,3.24,2.95,4,4,11,16,1,0,0,0,0.5,0.75,1.25,2,0.5,0.75,1.25,2,2.25,0.666666666666667,1,0.666666666666667,2,0.25,0.5,"A",1052.3459326798,982.965802963699,0.690474027375771,0.904680645026771,1.00101200216089
"15/09/2019OviedoElche","Oviedo","Elche","15/09/2019",2.1,1.71,1.83,4.33,3.43,4,2,22,15,1,1,2,1,1.25,0.75,2,1.25,1.25,0.75,2,1.25,2.5,1,1,1.66666666666667,1,0.75,0.25,"A",973.183390419271,982.660060561815,0.586229558714341,1.04516371979535,1.07731576312425
"15/09/2019ZaragozaExtremadura UD","Zaragoza","Extremadura UD","15/09/2019",2.22,1.64,1.65,5.56,3.55,4,4,3,20,3,0,0,0,1.75,0.5,0.25,1,1.75,0.5,0.25,1,3,1.66666666666667,0.666666666666667,0.333333333333333,1.33333333333333,0.25,0.5,"H",1042.51836594405,992.131139819149,0.666635071552396,1.02314707823919,0.762549909695774
"15/09/2019LugoFuenlabrada","Lugo","Fuenlabrada","15/09/2019",2.42,1.54,2.45,3.09,2.95,4,2,17,4,1,1,1,1,1,1.75,1.5,0.75,1,1.75,1.5,0.75,0,1.33333333333333,1.66666666666667,2,1,0.25,0.5,"H",964.830728616673,1055.65664725854,0.470064964448144,0.985490903166579,1.01000448187507
"15/09/2019Sp GijonLa Coruna","Sp Gijon","La Coruna","15/09/2019",2.42,1.53,2.3,3.36,2.96,4,2,12,18,0,0,1,1,1,1.25,0.75,2.25,1,1.25,0.75,2.25,2,1,0.666666666666667,0.666666666666667,2.33333333333333,0,0.75,"D",1043.59553759788,1014.85432231021,0.638393910354305,0.816618381247446,0.877262867132664
"17/09/2019AlmeriaGirona","Almeria","Girona","17/09/2019",2.42,1.54,2,4.02,3.14,5,4,2,9,3,0,0,2,1.8,1,0.2,1,1.8,1,0.2,1,3,1.66666666666667,1.33333333333333,0,1,0.4,0.2,"H",1104.57520070941,1034.59396436584,0.691213054359148,0.885222153709266,1.05200471604013
"17/09/2019MalagaVallecano","Malaga","Vallecano","17/09/2019",2.3,1.61,2.55,2.82,3.12,5,2,16,6,1,2,1,0,0.6,1.8,0.8,1.4,0.6,1.8,0.8,1.4,0,0.333333333333333,2,1,1.33333333333333,0,0.6,"D",1052.56941910419,1096.73545029401,0.537109605238046,0.843874670413168,1.18399867449509
"17/09/2019SantanderMirandes","Santander","Mirandes","17/09/2019",2.47,1.52,2.01,4.01,3.12,5,4,21,17,0,1,2,1,0.8,1.2,1.6,1.6,0.8,1.2,1.6,1.6,0,1,1,2,1.33333333333333,0.4,0.6,"H",956.28034494738,918.767461404162,0.649966833883206,0.996225829418972,1.06660616286263
"17/09/2019AlcorconCadiz","Alcorcon","Cadiz","17/09/2019",2.83,1.41,3.23,2.48,2.82,5,3,10,1,1,2,1,0,1.4,2.2,1.6,0.8,1.4,2.2,1.6,0.8,2.16666666666667,1.66666666666667,2,2,0.666666666666667,0.6,0.8,"H",923.505763616508,1116.34336844828,0.330237724014182,0.902798260164059,0.95358638228521
"18/09/2019HuescaAlbacete","Huesca","Albacete","18/09/2019",2.17,1.66,1.71,5.19,3.42,5,1,6,16,0,0,1,4,1,0.4,0.6,1.8,1,0.4,0.6,1.8,0,0.333333333333333,0.333333333333333,0.666666666666667,2,0.2,0.4,"A",1080.63449189959,1024.72697012242,0.673659138560441,0.957637550489744,0.939365734451599
"18/09/2019LugoPonferradina","Lugo","Ponferradina","18/09/2019",2.14,1.69,2.44,3,3.06,5,4,14,12,2,1,0,1,1.2,1.6,1.2,1.2,1.2,1.6,1.2,1.2,0,1.66666666666667,2,1.66666666666667,0.666666666666667,0.2,0.4,"D",986.028131108013,999.056750950728,0.581261267238565,0.975820142662493,1.03226994653143
"18/09/2019La CorunaNumancia","La Coruna","Numancia","18/09/2019",2.29,1.6,1.81,4.67,3.3,5,6,19,8,1,1,1,0,1.2,1,2,0.8,1.2,1,2,0.8,3.5,0.666666666666667,1,1.66666666666667,0,0.6,0.2,"D",1020.39007953699,967.896614921153,0.669324014148117,0.882382211702517,0.852832154198949
"19/09/2019ElcheTenerife","Elche","Tenerife","19/09/2019",2.18,1.66,2.1,3.75,3.09,5,2,11,13,2,4,0,0,1,1.4,1,1.6,1,1.4,1,1.6,3,1,1.33333333333333,0.666666666666667,1.33333333333333,0.2,0.6,"D",1006.109244578,1010.58476552108,0.593194889104214,1.06172149094434,1.03939039679235
"19/09/2019OviedoExtremadura UD","Oviedo","Extremadura UD","19/09/2019",2.27,1.61,1.76,4.87,3.35,5,2,22,21,0,1,2,3,1,0.6,2,1.4,1,0.6,2,1.4,2,0.666666666666667,0.666666666666667,2,1.66666666666667,0.6,0.6,"D",949.734206403083,978.796538900983,0.558642947596975,1.03003485221822,0.802612541223494
"19/09/2019Las PalmasSp Gijon","Las Palmas","Sp Gijon","19/09/2019",2.35,1.57,2.58,2.87,2.98,5,1,20,15,0,1,3,1,0.6,1,1.4,0.8,0.6,1,1.4,0.8,1,0.666666666666667,1,1.66666666666667,0.666666666666667,0.4,0,"H",958.445688112027,1038.0597803711,0.48616772826902,0.975731811252851,0.821383829589453
"20/09/2019MirandesAlcorcon","Mirandes","Alcorcon","20/09/2019",2.68,1.45,2.79,2.74,2.9,6,4,20,4,0,3,4,0,1,1.66666666666667,2,1.33333333333333,0.8,1.8,2,1.6,1.5,1,1.33333333333333,2,1.33333333333333,0.666666666666667,0.666666666666667,"D",904.766139135994,950.296254902017,0.535156762218742,1.09357893223222,0.92057870876611
"21/09/2019CadizLa Coruna","Cadiz","La Coruna","21/09/2019",2.48,1.52,2.42,3.07,3.03,6,0,2,20,0,3,3,3,1.83333333333333,1.5,1.16666666666667,2.16666666666667,1.6,1.2,1.2,2.2,2.5,1.33333333333333,1.33333333333333,1.33333333333333,1.66666666666667,0.833333333333333,0.666666666666667,"D",1089.55287716277,1013.61712077435,0.698480799772761,0.972367093775236,0.978970741429938
"21/09/2019ZaragozaLugo","Zaragoza","Lugo","21/09/2019",1.92,1.87,1.45,6.94,4.22,5.5,0,3,13,3,2,1,2,2,1.33333333333333,0.4,1.33333333333333,2,1.6,0.4,1.6,3,2.33333333333333,1.66666666666667,0.333333333333333,1,0.4,0.333333333333333,"D",1055.85296686221,982.777675926125,0.69500160325608,1.07690089011823,1.00452824346021
"21/09/2019VallecanoAlmeria","Vallecano","Almeria","21/09/2019",2.21,1.65,2.29,3.21,3.11,6,2,6,1,1,3,1,1,1.66666666666667,2,1.33333333333333,0.333333333333333,1.6,1.8,1.2,0.4,1.5,1.33333333333333,2.33333333333333,1.33333333333333,0.333333333333333,0.5,0.5,"D",1098.21983844274,1116.92667674891,0.573285045599681,1.17219914441133,0.917006332494694
"21/09/2019AlbaceteMalaga","Albacete","Malaga","21/09/2019",2.65,1.45,2.56,3.08,2.81,6,1,8,16,1,1,0,1,0.5,0.666666666666667,1.5,0.833333333333333,0.6,0.6,1.2,1,3,0.666666666666667,0.666666666666667,1.33333333333333,1,0.333333333333333,0,"H",1051.67333676721,1051.08503095546,0.600209696109113,0.91328217597487,0.835464758497764
"22/09/2019PonferradinaOviedo","Ponferradina","Oviedo","22/09/2019",2.29,1.6,2.68,2.73,3.03,6,3,13,22,2,1,2,1,1.66666666666667,1,1.33333333333333,1.83333333333333,1.8,0.8,1,1.6,0,1.33333333333333,0.666666666666667,1.33333333333333,1.66666666666667,0.5,0.5,"H",1002.30720613262,947.3884903442,0.672406562404192,1.06263877002652,1.02837035727731
"22/09/2019GironaLas Palmas","Girona","Las Palmas","22/09/2019",2.09,1.72,1.52,6.57,3.88,6,1,14,17,1,1,3,0,1,0.666666666666667,1.33333333333333,1.16666666666667,1,0.8,1.4,1.2,0,1.33333333333333,0.333333333333333,2,1,0.333333333333333,0.333333333333333,"H",1022.24248832634,978.998978536004,0.657434438836837,1.08977727498211,0.95129437303473
"22/09/2019NumanciaElche","Numancia","Elche","22/09/2019",2.21,1.64,1.93,4.09,3.26,6,2,9,10,3,1,3,1,1.33333333333333,1,1.16666666666667,1,1.6,1.2,1.2,0.8,2.75,1.33333333333333,1.33333333333333,1,0.666666666666667,0.333333333333333,0.166666666666667,"D",974.669573683795,1002.38144462106,0.560558855119186,0.946186035074912,1.04711951257835
"22/09/2019Sp GijonSantander","Sp Gijon","Santander","22/09/2019",2.35,1.57,1.7,5.26,3.45,6,2,15,20,0,4,1,0,0.833333333333333,1.33333333333333,0.833333333333333,1.33333333333333,0.8,1.6,0.8,1.4,0,0.333333333333333,1.66666666666667,1,1.33333333333333,0,0.5,"D",1017.50648994713,970.281667215549,0.662577167930494,0.800812073746848,1.02141879236306
"22/09/2019Extremadura UDHuesca","Extremadura UD","Huesca","22/09/2019",2.32,1.58,2.99,2.52,2.98,6,1,21,8,1,0,1,1,0.666666666666667,0.833333333333333,1.33333333333333,0.666666666666667,0.8,0.8,1.6,0.8,0,0.666666666666667,0.333333333333333,1.33333333333333,0.666666666666667,0.5,0.166666666666667,"A",981.142254959866,1053.6881252548,0.496336364861523,0.80131555160076,0.931046634798856
"22/09/2019TenerifeFuenlabrada","Tenerife","Fuenlabrada","22/09/2019",2.27,1.6,1.92,4.15,3.22,5.5,1,12,6,1,0,1,2,1.33333333333333,1.4,1.5,1,1.6,1.4,1.4,1,0,1.66666666666667,1,0.333333333333333,1.33333333333333,0.5,0.4,"A",1014.31256547803,1034.4592447672,0.571256440362242,1.02509554054499,1.00009316618369
"27/09/2019Las PalmasAlbacete","Las Palmas","Albacete","27/09/2019",2.32,1.59,1.94,4.18,3.22,7,5,19,6,0,1,1,0,0.571428571428571,0.571428571428571,1.14285714285714,1.28571428571429,0.6,0.6,1.2,1.2,4,0.333333333333333,0.666666666666667,1.33333333333333,1.33333333333333,0.285714285714286,0.285714285714286,"H",965.29635659718,1067.66494860173,0.453552287860246,0.922082028266298,0.891556838735996
"28/09/2019FuenlabradaVallecano","Fuenlabrada","Vallecano","28/09/2019",2.23,1.63,3.06,2.38,3.11,6.5,4,4,9,1,1,0,1,1.33333333333333,1.57142857142857,0.833333333333333,1.28571428571429,1.2,1.6,1,1.2,0,0.666666666666667,1.33333333333333,1,0.666666666666667,0.333333333333333,0.428571428571429,"D",1057.30949791014,1095.28843314367,0.545952031812904,0.969598884428647,1.15720938760005
"28/09/2019AlcorconExtremadura UD","Alcorcon","Extremadura UD","28/09/2019",2.48,1.52,1.78,4.92,3.28,7,2,7,21,2,0,2,1,1.71428571428571,0.571428571428571,1.42857142857143,1.28571428571429,2,0.6,1.6,1.4,2,2,0.666666666666667,1,1.66666666666667,0.714285714285714,0.428571428571429,"A",951.702530215691,961.28880441169,0.586076514456484,0.947704072155328,0.782730975125455
"28/09/2019HuescaGirona","Huesca","Girona","28/09/2019",2.43,1.54,2.31,3.27,3.02,7,1,5,10,1,1,0,0,0.857142857142857,1,0.571428571428571,1.14285714285714,0.4,1.2,0.6,1.2,3.5,0.333333333333333,0.666666666666667,0.666666666666667,1.66666666666667,0.142857142857143,0.285714285714286,"H",1073.54157580297,1035.94511026516,0.650076443878756,0.909453259564932,1.05631239767392
"28/09/2019ElchePonferradina","Elche","Ponferradina","28/09/2019",2.42,1.54,2.27,3.31,3.05,7,1,12,8,1,2,1,1,1,1.71428571428571,1,1.28571428571429,1,2,0.8,1,0,1.33333333333333,1.66666666666667,0.666666666666667,1.33333333333333,0.142857142857143,0.571428571428571,"H",1004.80379480225,1015.41094283565,0.584650285603061,1.03703852148441,1.06785157043702
"28/09/2019SantanderNumancia","Santander","Numancia","28/09/2019",2.45,1.53,2.01,3.9,3.17,7,0,17,11,1,1,1,1,1.28571428571429,1.28571428571429,1.28571428571429,1.14285714285714,1.6,1.4,1.4,0.8,0,1.66666666666667,1.66666666666667,1,1.33333333333333,0.428571428571429,0.285714285714286,"D",976.784755102958,972.247223502602,0.605652267753346,1.02029714960409,0.937076766382824
"29/09/2019MalagaSp Gijon","Malaga","Sp Gijon","29/09/2019",2.64,1.45,2.31,3.29,2.99,7,0,18,17,0,1,1,1,0.571428571428571,0.857142857142857,0.857142857142857,0.857142857142857,0.4,0.8,1,0.8,3,0.666666666666667,0.666666666666667,1,1,0,0,"D",1035.09341912094,1011.00340205972,0.632190487632615,0.815590557394273,0.799932684146295
"29/09/2019AlmeriaCadiz","Almeria","Cadiz","29/09/2019",2.62,1.47,2.29,3.32,3.01,7,3,1,2,1,0,1,0,1.85714285714286,1.57142857142857,0.428571428571429,1,1.8,1.2,0.4,1,1,2.33333333333333,0.666666666666667,0.666666666666667,1,0.428571428571429,0.714285714285714,"A",1119.85808204798,1081.61364728675,0.650924500311337,0.905279910423804,0.923748739086474
