GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgH,AvgA,AvgD,Played,TG,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtACGP3G,AtACGP3G,HtpercentGO,AtpercentGO,FTR
03/10/2022MaritimoCasa Pia,Maritimo,Casa Pia,03/10/2022,2.27,1.62,2.86,2.52,3.17,7.0,3,18,6,0,1,5,0,0.5714285714285714,1.0,3.142857142857143,0.42857142857142855,0.4,1.4,3.0,0.4,0.0,0.6666666666666666,1.3333333333333333,3.0,0.6666666666666666,0.8571428571428571,0.14285714285714285,A
07/10/2022Gil VicenteEstoril,Gil Vicente,Estoril,07/10/2022,1.95,1.85,2.17,3.29,3.39,8.0,1,12,8,1,1,3,1,1.0,1.25,1.375,0.875,1.4,1.2,2.0,0.8,2.0,1.6666666666666667,1.0,2.0,0.6666666666666666,0.5,0.25,A
08/10/2022Santa ClaraSp Lisbon,Santa Clara,Sp Lisbon,08/10/2022,1.85,1.95,6.28,1.51,4.16,8.0,3,16,8,0,3,1,1,0.625,2.0,1.125,1.375,0.6,2.0,1.0,1.0,3.0,0.3333333333333333,2.6666666666666665,1.0,1.0,0.375,0.75,A
08/10/2022BenficaRio Ave,Benfica,Rio Ave,08/10/2022,1.46,2.66,1.15,16.49,7.6,8.0,6,1,11,0,1,0,0,2.375,1.375,0.375,1.625,2.2,1.8,0.6,1.4,3.2,2.0,1.6666666666666667,0.0,1.6666666666666667,0.625,0.625,H
08/10/2022PortimonensePorto,Portimonense,Porto,08/10/2022,1.75,2.07,7.16,1.43,4.55,8.0,2,6,3,0,4,1,1,1.0,2.5,0.875,0.75,0.6,2.2,1.0,1.0,4.4,0.3333333333333333,2.6666666666666665,1.6666666666666667,0.6666666666666666,0.375,0.625,A
08/10/2022Pacos FerreiraGuimaraes,Pacos Ferreira,Guimaraes,08/10/2022,2.23,1.65,3.13,2.33,3.21,8.0,1,17,9,1,0,1,0,0.75,0.75,2.0,0.75,1.2,0.6,1.8,0.8,3.0,1.3333333333333333,1.0,1.6666666666666667,0.6666666666666666,0.5,0.25,A
09/10/2022BoavistaMaritimo,Boavista,Maritimo,09/10/2022,2.06,1.75,1.94,3.97,3.41,8.0,2,8,18,0,1,4,2,1.0,0.625,1.5,3.0,1.0,0.6,1.8,2.4,1.6666666666666667,1.3333333333333333,0.6666666666666666,2.0,3.0,0.625,0.875,D
09/10/2022Casa PiaVizela,Casa Pia,Vizela,09/10/2022,2.33,1.6,2.39,3.13,3.1,8.0,1,4,14,2,1,1,0,1.125,0.75,0.5,1.125,1.4,0.8,0.6,1.4,0.0,2.0,0.3333333333333333,1.0,1.0,0.25,0.25,A
09/10/2022Sp BragaChaves,Sp Braga,Chaves,09/10/2022,1.57,2.38,1.29,9.6,5.6,8.0,1,3,10,1,1,4,1,3.0,0.875,1.125,1.125,2.6,0.8,1.2,1.2,1.8333333333333333,2.0,0.3333333333333333,2.0,1.6666666666666667,0.75,0.25,A
10/10/2022AroucaFamalicao,Arouca,Famalicao,10/10/2022,2.22,1.65,2.73,2.62,3.18,8.0,5,14,15,1,4,1,0,0.875,0.625,2.0,1.0,0.8,1.0,2.2,0.6,1.5,1.3333333333333333,1.3333333333333333,1.6666666666666667,0.6666666666666666,0.625,0.25,H
21/10/2022PortoBenfica,Porto,Benfica,21/10/2022,1.99,1.83,2.37,3.08,3.24,9.0,1,2,1,2,4,0,2,2.4444444444444446,2.5555555555555554,0.6666666666666666,0.5555555555555556,2.4,2.4,0.4,0.6,2.0833333333333335,2.3333333333333335,3.0,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.6666666666666666,A
22/10/2022FamalicaoPacos Ferreira,Famalicao,Pacos Ferreira,22/10/2022,2.16,1.69,1.71,5.11,3.57,9.0,3,15,17,1,0,4,1,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.8888888888888888,1.0,0.8,1.4,1.4,2.5,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.0,0.3333333333333333,0.4444444444444444,H
