GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at,OvUn25
16/08/2022BoltonMorecambe,Bolton,Morecambe,16/08/2022,1.78,2.02,5.71,1.54,3.0,8,21,0,1,0,1,1.3333333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.3333333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333333,2.0,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1033.6929792024891,921.5110974983677,0.7405296455870947,1.0905891628765372,1.1760718983716023,0
16/08/2022BurtonIpswich,Burton,Ipswich,16/08/2022,1.98,1.8,1.66,5.07,3.0,22,1,4,3,4,0,1.3333333333333333,2.0,3.6666666666666665,0.6666666666666666,1.3333333333333333,2.0,3.6666666666666665,0.6666666666666666,2.6666666666666665,1.3333333333333333,2.0,1.0,0.6666666666666666,1011.7483424575867,1100.2608191851489,0.4733835885126366,1.0309549282214188,0.9374596148002542,0
16/08/2022CharltonPlymouth,Charlton,Plymouth,16/08/2022,1.93,1.85,3.01,2.29,3.0,12,5,0,2,1,0,1.0,1.3333333333333333,1.0,0.6666666666666666,1.0,1.3333333333333333,1.0,0.6666666666666666,2.75,1.0,1.3333333333333333,0.3333333333333333,0.3333333333333333,1040.851876146026,997.5859351445305,0.6574635316186331,1.0392941654680183,1.0458825895774118,1
16/08/2022ExeterWycombe,Exeter,Wycombe,16/08/2022,2.0,1.78,2.87,2.42,3.0,11,20,1,1,2,2,2.0,1.3333333333333333,1.0,1.6666666666666667,2.0,1.3333333333333333,1.0,1.6666666666666667,0.0,2.0,1.3333333333333333,0.6666666666666666,1.0,939.6676695328916,1140.4949396760942,0.320145700187989,0.9647244355083693,0.9851259379531417,1
16/08/2022Fleetwood TownCheltenham,Fleetwood Town,Cheltenham,16/08/2022,1.91,1.87,3.29,2.14,3.0,13,23,1,0,1,2,1.3333333333333333,0.6666666666666666,1.3333333333333333,2.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,2.0,3.5,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,930.743839779681,949.2861327538101,0.5735168290120076,1.1040052574731987,1.1962124941694046,0
16/08/2022Milton Keynes DonsPort Vale,Milton Keynes Dons,Port Vale,16/08/2022,2.29,1.61,3.39,2.2,3.0,24,16,0,0,3,0,0.0,0.6666666666666666,1.6666666666666667,1.6666666666666667,0.0,0.6666666666666666,1.6666666666666667,1.6666666666666667,0.5,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,1089.4891682266268,878.838031363148,0.8341815860777937,1.0983736139743654,0.9018852647625876,1
16/08/2022OxfordLincoln,Oxford,Lincoln,16/08/2022,1.94,1.84,3.87,1.91,3.0,19,17,0,1,1,1,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,0.3333333333333333,0.6666666666666666,0.0,0.0,1057.6830537637206,928.3370676027649,0.7590590589288738,1.1137347270241498,1.00607881833661,1
16/08/2022PeterboroSheffield Weds,Peterboro,Sheffield Weds,16/08/2022,2.02,1.77,2.45,2.85,3.0,4,2,0,1,2,0,2.0,1.6666666666666667,1.3333333333333333,1.0,2.0,1.6666666666666667,1.3333333333333333,1.0,0.0,2.0,1.6666666666666667,0.6666666666666666,0.3333333333333333,1149.400236470981,1201.8178502320952,0.5252815096112221,1.2443181037052657,1.0924058015050468,0
16/08/2022PortsmouthCambridge,Portsmouth,Cambridge,16/08/2022,1.88,1.9,5.21,1.64,3.0,9,6,2,2,0,1,1.6666666666666667,1.0,1.0,0.6666666666666666,1.6666666666666667,1.0,1.0,0.6666666666666666,1.5,1.6666666666666667,1.0,0.3333333333333333,0.3333333333333333,1120.1875845207328,956.3061172741134,0.7935289722265779,1.1780381675885916,1.0439586749942154,1
16/08/2022ShrewsburyDerby,Shrewsbury,Derby,16/08/2022,2.33,1.58,2.27,3.33,3.0,15,7,2,2,1,1,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,895.197439544034,1073.7805529539241,0.3486327258465828,0.9593558450257204,1.1169176282927156,0
