GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at,OvUn25
18/10/2020Den HaagVitesse,Den Haag,Vitesse,18/10/2020,1.63,2.26,1.66,4.79,4.0,14,5,2,3,1,0,1.0,1.75,2.0,0.5,1.0,1.75,2.0,0.5,2.25,1.3333333333333333,2.0,0.5,0.5,924.7240461987725,1070.161095342569,0.39311179469220164,1.1083376923085744,1.0911332589750795,0
18/10/2020GroningenUtrecht,Groningen,Utrecht,18/10/2020,1.84,1.96,2.35,2.87,3.5,7,8,1,1,0,1,1.0,1.6666666666666667,1.5,1.0,1.0,1.6666666666666667,1.5,1.0,2.7142857142857144,1.0,1.6666666666666667,0.5,0.3333333333333333,1029.4723570255248,1077.1631960073044,0.5320614120771301,0.7501760029271032,1.1463935519241095,0
18/10/2020ZwollePSV Eindhoven,Zwolle,PSV Eindhoven,18/10/2020,1.52,2.48,1.58,5.15,3.5,10,4,4,2,0,0,1.6666666666666667,2.0,1.0,0.75,1.6666666666666667,2.0,1.0,0.75,3.75,1.6666666666666667,1.6666666666666667,0.3333333333333333,0.5,992.5840502498861,1227.7803684899827,0.27869452317751947,1.1409216194875833,1.1110241984918583,1
18/10/2020FC EmmenFor Sittard,FC Emmen,For Sittard,18/10/2020,1.56,2.4,3.34,2.0,4.0,16,17,1,0,1,2,1.5,1.0,2.25,2.5,1.5,1.0,2.25,2.5,3.25,1.0,1.3333333333333333,0.5,0.5,982.8967024665211,910.2795779585871,0.6944422398087619,1.1223642264950187,1.0858268712815233,1
21/10/2020WaalwijkZwolle,Waalwijk,Zwolle,21/10/2020,1.9,1.9,2.14,3.41,4.0,15,11,1,0,0,3,0.5,1.25,1.75,1.5,0.5,1.25,1.75,1.5,4.0,0.6666666666666666,1.6666666666666667,0.5,0.5,875.6696763382563,981.4362693227853,0.4487087947090591,1.036097495698834,1.137879762796929,0
24/10/2020VVV VenloAjax,VVV Venlo,Ajax,24/10/2020,1.35,3.09,1.2,12.52,5.0,9,2,2,5,2,1,1.8,2.2,1.8,0.6,1.8,2.2,1.8,0.6,3.8,1.0,2.3333333333333335,0.6,0.6,963.103364446073,1248.4878590614403,0.2244616062044497,1.0455515373570947,1.2600701040129856,1
24/10/2020UtrechtTwente,Utrecht,Twente,24/10/2020,1.6,2.31,4.45,1.7,4.5,8,5,0,3,0,0,1.25,2.0,0.75,0.6,1.25,2.0,0.75,0.6,3.3333333333333335,1.3333333333333333,2.3333333333333335,0.25,0.4,1078.4456524903896,980.6532978719929,0.724299617192089,1.089073874327904,1.0248890485276247,1
24/10/2020ZwolleWillem II,Zwolle,Willem II,24/10/2020,1.7,2.13,2.73,2.43,5.0,10,12,1,0,1,3,1.2,1.2,1.4,2.0,1.2,1.2,1.4,2.0,2.375,1.6666666666666667,0.6666666666666666,0.4,0.6,979.3846211111477,1033.3036937968432,0.5231258031741121,1.1195921801025668,1.1352631824870443,0
24/10/2020HeerenveenFC Emmen,Heerenveen,FC Emmen,24/10/2020,1.57,2.39,4.22,1.74,5.0,6,15,1,2,5,2,1.6,1.6,1.4,2.2,1.6,1.6,1.4,2.2,2.0,1.0,1.3333333333333333,0.4,0.6,1036.9306482494903,975.1190128741706,0.6810863600558669,1.1808353062080148,1.1399225856400903,1
25/10/2020For SittardGroningen,For Sittard,Groningen,25/10/2020,1.85,1.94,2.32,2.93,5.0,17,8,2,0,2,0,1.2,0.8,2.4,1.2,1.2,0.8,2.4,1.2,1.3333333333333333,1.6666666666666667,0.6666666666666666,0.6,0.4,918.0572675509376,1028.1899005424395,0.4425000080703902,1.1028136370080723,0.712667202780748,1
25/10/2020Sparta RotterdamHeracles,Sparta Rotterdam,Heracles,25/10/2020,1.69,2.16,3.29,2.08,5.0,18,14,1,0,1,1,1.0,0.6,2.4,1.8,1.0,0.6,2.4,1.8,4.0,1.6666666666666667,0.3333333333333333,0.4,0.4,952.4943089184386,977.7314875898692,0.5640647957493706,1.2400410481509785,1.0040096458969574,0
