GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at
28/08/2021HeidenheimHamburg,Heidenheim,Hamburg,28/08/2021,1.71,2.13,2.41,2.84,4.0,8,7,0,2,1,2,0.75,2.0,0.75,1.75,0.75,2.0,0.75,1.75,3.3333333333333335,1.0,1.6666666666666667,0.25,0.75,1010.2095284387049,1030.6847592965728,0.5707930455434256,0.9844624969666739,1.3156045848297864
28/08/2021Holstein KielErzgebirge Aue,Holstein Kiel,Erzgebirge Aue,28/08/2021,1.73,2.11,4.48,1.75,4.0,18,17,2,1,2,3,0.5,0.5,2.75,1.0,0.5,0.5,2.75,1.0,3.0,0.6666666666666666,0.6666666666666666,1.0,0.25,1002.617139916948,945.9620479599893,0.6746045195500093,1.1223122211198482,1.0121463968369235
28/08/2021Schalke 04Fortuna Dusseldorf,Schalke 04,Fortuna Dusseldorf,28/08/2021,1.71,2.13,3.03,2.25,4.0,13,11,1,2,4,2,1.5,1.5,2.0,1.75,1.5,1.5,2.0,1.75,0.0,1.6666666666666667,1.3333333333333333,0.75,0.5,984.3157148891314,1029.649074969553,0.5354386258642336,1.0540064892755614,1.2019121258529128
29/08/2021DresdenPaderborn,Dresden,Paderborn,29/08/2021,1.74,2.08,2.83,2.48,4.0,2,4,3,3,1,1,2.25,2.25,0.5,1.0,2.25,2.25,0.5,1.0,3.5,2.0,3.0,0.5,0.75,994.8178946507054,1065.9543032857616,0.49836458234299136,0.9756851470285336,1.2477195558835419
29/08/2021St PauliRegensburg,St Pauli,Regensburg,29/08/2021,1.66,2.22,2.95,2.35,4.0,7,1,1,4,3,1,1.75,3.0,1.25,0.25,1.75,3.0,1.25,0.25,3.125,1.3333333333333333,3.3333333333333335,0.75,0.75,1028.0321480793853,1023.5514341075034,0.6055740547386212,1.1250336981544877,1.054430761167662
29/08/2021Werder BremenHansa Rostock,Werder Bremen,Hansa Rostock,29/08/2021,1.75,2.08,4.37,1.78,4.0,11,12,0,1,0,3,1.25,1.5,1.75,1.75,1.25,1.5,1.75,1.75,0.0,1.3333333333333333,1.6666666666666667,0.5,0.75,1006.5002796451008,981.5780748189635,0.6333037078223137,0.99907676039087,1.0470096062239043
11/09/2021HannoverSt Pauli,Hannover,St Pauli,11/09/2021,1.59,2.34,2.72,2.42,5.0,17,4,0,2,4,0,0.4,1.8,2.0,1.0,0.4,1.8,2.0,1.0,2.5,0.3333333333333333,2.0,0.4,0.6,930.4304481814368,1043.8091858898404,0.43789535015612613,1.1456193370774037,1.1067171735940435
11/09/2021IngolstadtWerder Bremen,Ingolstadt,Werder Bremen,11/09/2021,1.7,2.14,1.97,3.44,5.0,16,7,2,3,0,0,0.8,1.6,2.2,1.4,0.8,1.6,2.2,1.4,0.0,1.0,1.3333333333333333,0.6,0.6,953.9520271353438,1021.1681313322083,0.5040062623724121,1.0957786832542171,1.0064289868461245
11/09/2021KarlsruheHolstein Kiel,Karlsruhe,Holstein Kiel,11/09/2021,1.66,2.2,2.86,2.38,5.0,6,15,1,3,2,0,1.4,1.0,0.6,2.2,1.4,1.0,0.6,2.2,3.75,0.3333333333333333,1.6666666666666667,0.6,1.0,1056.453066982091,1015.6329591349476,0.654285796366455,0.9759852041707825,1.125476572120241
11/09/2021HamburgSandhausen,Hamburg,Sandhausen,11/09/2021,1.51,2.5,5.74,1.5,5.0,10,14,0,0,0,2,1.6,0.6,1.4,1.6,1.6,0.6,1.4,1.6,3.5,1.3333333333333333,1.0,0.6,0.4,1033.51648111831,907.0904130800451,0.7559716263762147,1.249824355588297,1.0329643781035636
